1598;10942857;подвал-20а
1600;;2318-19
1601;;2318-19
1604;;2318-27
1605;11097440;Подвал-55
1615;11097464;Подвал-55
1616;11097471;Подвал-55
1617;11097488;Подвал-55
1618;;2318-27
1619;;2318-28
1630;;2318-19
1657;;2318-19
1659;;2318-27
1660;;2318-27
1661;;2318-27
1663;;2318-19
1671;;2318-27
1673;;2318-27
1690;;2318-27
1692;;2318-27
1693;;2318-27
1695;;2318-27
1697;10300619;Подвал-бортик вдоль окон
1698;10301418;Подвал-бортик вдоль окон
1699;10301425;Подвал-бортик вдоль окон
1700;;2318-27
1704;10301449;Подвал-бортик вдоль окон
1705;;2318-27
1708;;2318-27
1709;;2318-27
1711;10632956;Подвал-39
1712;;2318-27
1713;;2318-27
1716;10632536;Подвал-39
1718;10631508;Подвал-39
1719;;2318-20
1720;;2318-27
1733;;2318-27
1738;10684511;Подвал-40
1740;10684528;Подвал-40
1741;10684504;Подвал-40
1745;10636473;Подвал-39
1748;10301432;Подвал-бортик вдоль окон
1749;;2318-27
1751;10684313;Подвал-40
1753;;2318-27
1754;;2318-27
1755;10683613;Подвал-40
1756;10683620;Подвал-40
1758;10743881;Подвал-40
1764;;2318-27
1767;;2318-27
1770;10597590;Подвал-38
1776;;Прочие СА
1777;;2318-27
1778;10736210;Подвал-40
1781;10736197;Подвал-40
1785;10735374;Подвал-40
1786;10735794;Подвал-40
1787;;2318-19
1789;;2318-27
1790;10734803;Подвал-40
1791;;2318-27
1793;;2318-19
1800;10826409;Подвал-40
1804;10300657;Подвал-бортик вдоль окон
1805;10300640;Подвал-бортик вдоль окон
1806;;2318-27
1807;;2318-27
1808;;2318-27
1809;;2318-27
1810;;2318-27
1811;;2318-27
1812;10824870;Подвал-41а
1813;;2318-27
1816;;2318-27
1817;;2318-27
1819;;2318-27
1820;10853511;№ подвал-41Б
1825;;2318-27
1826;;2318-21
1827;;2318-27
1828;;2318-27
1830;;2318-27
1831;10852484;№ подвал-41Б
1833;10852514;№ подвал-41Б
1834;;2318-28
1834;10253038;2318-30
1835;10297193;Подвал-50
1836;10299753;Подвал-бортик вдоль окон
1837;10852125;№ подвал-41Б
1840;;2318-27
1843;;2318-27
1844;;2318-27
1845;;2318-27
1848;10726297;№ подвал-41Б
1850;10299364;Подвал-бортик вдоль окон
1853;;2318-27
1854;;2318-19
1855;;2318-27
1856;;2318-27
1860;;2318-27
1865;10910573;Подвал-42а
1866;10297513;Подвал-50
1867;;2318-27
1869;10297506;Подвал-50
1870;10298251;Подвал-бортик вдоль окон
1871;10298244;Подвал-бортик вдоль окон
1872;10910535;Подвал-42а
1873;10909133;Подвал-42а
1877;;2318-28
1883;11070474;подвал-15б
1886;10734650;Подвал-40
1891;;2318-28
1907;;2318-28
1908;;2318-28
1909;10987131;Подвал-42б
1920;11161363;Подвал-14а
1921;;2318-19
1922;;2318-28
1941;;2318-28
1942;;2318-28
1946;10295939;Подвал-50
1992;11088899;Подвал-42б
1998;;2318-28
2644;11327059;Подвал-7в
2676;11369073;ПОДВАЛ 48а 2 полка
2678;11327011;Подвал-7в
